Province,District,Local Level Name,Type
1,TAPLEJUNG,Sidingba Rural Municipality,Rural Municipality
1,TAPLEJUNG,Meringden Rural Municipality,Rural Municipality
1,TAPLEJUNG,Maiwakhola Rural Municipality,Rural Municipality
1,TAPLEJUNG,Phaktanglung Rural Municipality,Rural Municipality
1,TAPLEJUNG,Sirijangha Rural Municipality,Rural Municipality
1,TAPLEJUNG,Mikwakhola Rural Municipality,Rural Municipality
1,TAPLEJUNG,Aathrai Tribeni Rural Municipality,Rural Municipality
1,TAPLEJUNG,Pathivara Yangwarak Rural Municipality,Rural Municipality
1,TAPLEJUNG,Phungling Municipality,Municipality
1,SANKHUWASABHA,Makalu Rural Municipality,Rural Municipality
1,SANKHUWASABHA,Chichila Rural Municipality,Rural Municipality
1,SANKHUWASABHA,Silichong Rural Municipality,Rural Municipality
1,SANKHUWASABHA,Bhotkhola Rural Municipality,Rural Municipality
1,SANKHUWASABHA,Sabhapokhari Rural Municipality,Rural Municipality
1,SANKHUWASABHA,Dharmadevi Municipality,Municipality
1,SANKHUWASABHA,Madi Municipality,Municipality
1,SANKHUWASABHA,Panchakhapan Municipality,Municipality
1,SANKHUWASABHA,Chainpur Municipality,Municipality
1,SANKHUWASABHA,Khandbari Municipality,Municipality
1,SOLUKHUMBU,Sotang Rural Municipality,Rural Municipality
1,SOLUKHUMBU,Mahakulung Rural Municipality,Rural Municipality
1,SOLUKHUMBU,Likhupike Rural Municipality,Rural Municipality
1,SOLUKHUMBU,Nechasalyan Rural Municipality,Rural Municipality
1,SOLUKHUMBU,Thulung Dudhkoshi Rural Municipality,Rural Municipality
1,SOLUKHUMBU,Maapya Dudhkoshi Rural Municipality,Rural Municipality
1,SOLUKHUMBU,Khumbupasanglahmu Rural Municipality,Rural Municipality
1,SOLUKHUMBU,Solududhakunda Municipality,Municipality
1,OKHALDHUNGA,Likhu Rural Municipality,Rural Municipality
1,OKHALDHUNGA,Molung Rural Municipality,Rural Municipality
1,OKHALDHUNGA,Sunkoshi Rural Municipality,Rural Municipality
1,OKHALDHUNGA,Champadevi Rural Municipality,Rural Municipality
1,OKHALDHUNGA,Chisankhugadhi Rural Municipality,Rural Municipality
1,OKHALDHUNGA,Khijidemba Rural Municipality,Rural Municipality
1,OKHALDHUNGA,Manebhanjyang Rural Municipality,Rural Municipality
1,OKHALDHUNGA,Siddhicharan Municipality,Municipality
1,KHOTANG,Sakela Rural Municipality,Rural Municipality
1,KHOTANG,Khotehang Rural Municipality,Rural Municipality
1,KHOTANG,Barahapokhari Rural Municipality,Rural Municipality
1,KHOTANG,Ainselukhark Rural Municipality,Rural Municipality
